stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0.82,0,0,0,6.57,0,0,0.82,0,0,0.82,0,1.64,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,18.53,0,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,0,5.16,0.57,0,0,0,0,0.57,0,0,0,0.57,0,0,0.57,0,0,30.41,0,1.15,0,0,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,13.74,0,0,1.96,2.94,0,0,0,0,0,0,1.96,0.98,0,0,0,60.85,0,1.96,2.94,0,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,40.25,0,0,10.8,1.96,0,1.96,0.98,0,0,0,0.98,2.94,0,0,0,81.48,0,0.98,1.96,0,0,0,0,0,3.93,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,29.74,0,0,5.31,3.19,1.06,1.06,0,0,0,0,0,2.12,1.06,0,0,52.04,1.06,0,2.12,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,63.39,1.09,0,13.11,2.19,1.09,0,0,0,1.09,1.09,2.19,4.37,0,0,0,37.16,0,3.28,3.28,0,1.09,3.28,0,0,3.28,0,0,0,0,0
108-118,0,0,0,0,0.77,0,78.13,1.53,0,13.02,4.6,0,0.77,0,0.77,0.77,0.77,4.6,3.06,0,0.77,0.77,69.7,0,1.53,3.83,0,0,0.77,0,0,0,0,0.77,1.53,0.77,0.77
120,0,0,0,0,0,3.92,76.43,0,0,19.6,9.8,0,0,0,0,0,1.96,13.72,3.92,0,0,0,90.15,0,0,0,0,0,1.96,0,0,1.96,3.92,0,0,0,0
