stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,9.44,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0.82,0.82,0,0.82,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,8.06,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0,5.16,0,0,0.57,0.57,0,0,0,0
 60-70,0,0,0.98,0,0,0.98,0,0.98,0,1.96,0,0,0,0.98,1.96,0,1.96,0,10.8,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,2.94,0,0,0.98,0,0,0,0,3.93,0,3.93,0,8.83,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,6.37,0,0,3.19,2.12,1.06,0,1.06,3.19,0,2.12,0,12.74,0,0,2.12,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,7.65,0,0,7.65,0,0,0,5.46,4.37,0,8.74,0,44.81,1.09,0,30.6,0,0,1.09,1.09,0
108-118,0,0,3.83,0,2.3,0,20.68,0,0,6.13,0,0.77,0.77,1.53,0,0.77,3.06,0,21.45,0,0,27.57,0,0,1.53,0.77,0.77
120,0,1.96,3.92,0,1.96,5.88,15.68,0,0,3.92,0,0,0,3.92,9.8,0,1.96,0,11.76,0,0,156.78,0,0,3.92,3.92,0
