stage,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,periderm,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,6.57,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,1.61,27.39,0
 48-58,0.57,0,0,0.57,1.15,0,0,0.57,0,1.72,0,72.87,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,3.93,0,82.45,0
 72-82,0.98,0,0.98,1.96,0,0,0,0.98,0,3.93,0,67.73,0.98
 84-94,3.19,1.06,0,2.12,0,1.06,0,0,0,2.12,1.06,167.8,0
 96-106,14.21,0,1.09,3.28,0,0,2.19,0,0,1.09,0,120.21,0
108-118,12.26,0,0,2.3,0,3.06,0,0.77,0.77,3.06,0,124.09,0
120,13.72,0,0,5.88,0,1.96,0,0,0,7.84,0,166.58,0
