stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,11,0,0,1,3,0,1,0,0,6,17
 24-34,0,0,0.82,0,0,0,0,0,0,9.85,5.75,1.64,0,0,3.28,4.93
 36-46,0,0,0,0,0,0.81,0,0,0,15.31,9.67,0,0,0,2.42,4.03
 48-58,0,0,0,1.15,0,3.44,0,0,0,25.25,6.89,0.57,0,0,1.15,3.44
 60-70,0,0,0.98,0.98,0,0,0,1.96,0,31.41,6.87,0.98,0,0,0.98,0.98
 72-82,0,0,0,0.98,0.98,4.91,0.98,2.94,0,29.45,12.76,4.91,0.98,0.98,0,0.98
 84-94,0,1.06,0,2.12,0,1.06,0,2.12,0,13.81,3.19,9.56,0,0,1.06,2.12
 96-106,0,0,1.09,1.09,1.09,0,1.09,4.37,0,4.37,13.11,12.02,0,0,1.09,0
108-118,0,0,0,0,0,2.3,0,1.53,0,3.06,8.43,8.43,0.77,0,1.53,0
120,0,0,0,0,0,1.96,0,3.92,0,3.92,7.84,1.96,0,0,3.92,0
