stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,16,1,0,5,0,0,0,4,1,0,0,0,0,0,0,0,6,0,0,4,69,0,0,0,4,1,11,1,0,14,22,0,0,0,0,0
 24-34,0,0,0.82,0,0,4.93,0,0,0,3.28,0,0,0,2.46,0,0,0,0,4.93,0,0,0.82,95.22,0.82,1.64,0.82,0,1.64,0,0,0.82,0.82,25.45,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,0,8.06,0,0,0,3.22,0,0,0,0,0,1.61,0,0,4.83,0,0,2.42,41.09,0,0,0,0,0.81,0,0,0,0,12.09,0,0,0,0,0.81
 48-58,0,0,1.72,0,0,47.63,0,0.57,0,9.75,0,0,0,0,0,0,1.15,0.57,12.62,0,0.57,2.87,103.28,0,0,0.57,0,1.15,0,0,0,0,22.95,0,0,1.72,0,0.57
 60-70,0,0,2.94,0,0,22.58,0.98,0,0,2.94,0,0,0.98,0,0,0,0,0,5.89,0,0,2.94,31.41,0,0,0.98,0,0.98,0,0.98,0.98,0,5.89,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,53.01,0,0.98,1.96,17.67,0.98,0,0,0,0,0,0,0,24.54,0,0.98,2.94,117.8,0,0,0,0,2.94,0,0,0,0,5.89,0,0,0.98,2.94,0
 84-94,0,1.06,3.19,0,0,13.81,1.06,0,0,6.37,0,0,2.12,0,1.06,0,0,0,14.87,1.06,3.19,2.12,26.55,0,1.06,2.12,0,3.19,0,0,0,0,0,0,2.12,2.12,0,1.06
 96-106,0,0,1.09,1.09,0,18.58,0,1.09,1.09,4.37,2.19,0,1.09,0,0,0,0,0,8.74,0,1.09,1.09,41.53,0,0,3.28,0,9.84,0,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0,3.06,0.77,0,13.02,0,0.77,0,9.19,1.53,0,2.3,0,0,0.77,0.77,0,6.13,0,1.53,1.53,32.17,0,0.77,0.77,0,5.36,0,0,0,0,0.77,0,0.77,0,0,0
120,0,0,3.92,0,1.96,9.8,0,0,0,5.88,1.96,0,3.92,0,0,0,0,0,7.84,0,0,1.96,43.12,1.96,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0
