stage,endocrine_pancreas,epidermis,eye,glial,mesenchyme,mucous,mural_cell,neural,pericytes,presomitic_mesoderm,spinal_cord,taste,xanthophores
 14-21,0,0,1,0,0,0,0,5,0,1,5,0,0
 24-34,0,0,1.64,0,0,0,0,27.09,0,0,19.7,0,0
 36-46,0,0,6.45,0,0,0,0,37.87,0,0,24.98,0,0
 48-58,0,0,16.07,0.57,0.57,0,0,49.92,0,0,12.05,0,0
 60-70,0,0.98,33.37,2.94,0,0,0,41.22,0,0,16.69,0,0.98
 72-82,0,0,56.94,4.91,0.98,0.98,0,65.77,0,0,18.65,0,0
 84-94,1.06,0,26.55,1.06,1.06,0,0,29.74,0,0,10.62,0,0
 96-106,0,3.28,16.39,1.09,0,0,0,33.88,1.09,0,5.46,1.09,0
108-118,0,0.77,16.85,0.77,0,0,0.77,26.04,0,0,1.53,0,0
120,0,0,11.76,0,1.96,0,0,27.44,0,0,1.96,0,0
