stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,44.69,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,9.44,0,0,3.15,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,0,0,7,1,0,1,1,2,1,1,13,18,5,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,4.1,0,0,0,0,0,0,0,0,0,1.64,0,0,6.57,9.03,1.64,0.82,0.82,0,3.28,0,1.64,8.21,10.67,0.82,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,4.83,0,0,0.81,0,0,1.61,0.81,0,0,4.83,0,0,2.42,8.06,0,0.81,0,0,1.61,0,0,2.42,0.81,0.81,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,3.44,8.03,0,0,2.3,0,0,0.57,0,1.15,0,7.46,0,0,3.44,12.05,0.57,0.57,1.15,0,1.15,0,0.57,3.44,0,4.59,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,2.94,4.91,0,0.98,0,0,0,0.98,0,0.98,0,3.93,0,0,0.98,6.87,0,0.98,1.96,0,0,0,0,2.94,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,1.96,2.94,0,1.96,4.91,0,0,0.98,0,0.98,0,6.87,0,0,0.98,12.76,0,0.98,2.94,0,0.98,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,1.06,3.19,1.06,1.06,0,1.06,0,0,0,0,0,0,5.31,0,0,3.19,1.06,1.06,0,6.37,0,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,3.28,5.46,0,0,1.09,1.09,0,0,0,1.09,0,8.74,1.09,0,0,0,0,2.19,2.19,0,0,0,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0,2.3,6.89,0,0,2.3,0,0,1.53,0.77,0,0.77,0,0,0.77,3.83,6.89,0,0.77,0.77,0,0,0,0,1.53,0,0,0.77,0,0,0.77
120,0,0,0,0,0,1.96,0,0,9.8,0,0,1.96,0,0,0,0,0,1.96,0,0,0,3.92,3.92,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
