stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,6,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,0,0,0,1,2,4,0,0,0
 24-34,0.82,2.46,0,2.46,0.82,1.64,0,0,0,0,0,7.39,0,2.46,39.4,2.46,0,0,0,0,1.64,11.49,0,0,2.46
 36-46,2.42,2.42,0,0.81,0,0,0,0,0,0,0,4.83,1.61,1.61,51.56,0,0.81,0,1.61,0,0,16.92,0,0,0.81
 48-58,1.72,8.61,0,0.57,1.15,3.44,0.57,0,0,0.57,0,6.31,0,0,70,0,0,1.72,0,0,0,13.2,0,0,0.57
 60-70,0.98,2.94,0,0,0,0.98,0,0,0,0,0,1.96,0.98,0,23.56,0.98,0,0,0.98,0,0,1.96,0,0,0.98
 72-82,2.94,30.43,0.98,1.96,1.96,7.85,0,0,0,0,0,9.82,0,3.93,114.85,0,0.98,1.96,0,0,0,10.8,0,0.98,1.96
 84-94,2.12,12.74,0,0,0,3.19,0,1.06,0,0,0,6.37,0,0,31.86,0,0,0,0,0,0,5.31,0,0,2.12
 96-106,4.37,12.02,1.09,0,1.09,2.19,1.09,0,0,0,0,4.37,0,2.19,37.16,0,0,1.09,0,0,0,0,1.09,0,2.19
108-118,1.53,3.83,0,0,0,2.3,0,0,0.77,0,0.77,2.3,0,0.77,37.53,0.77,0.77,0,0,0,0,1.53,0.77,0,1.53
120,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0
