stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,17,0,0,0,0,2,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,4.1,0,0.82,0.82,0.82,0,0.82,43.51,0,0,0.82,0.82,10.67,0,0,0
 36-46,0,0,2.42,0,1.61,0,0,0,0,0.81,0,0,0,0,0,0.81,45.12,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,2.87,0.57,0,0.57,0.57,1.72,0,0,0,0.57,0,0,51.07,0,0,0,0,6.89,0,0,0
 60-70,0,0,1.96,0.98,19.63,0,0,0,0,3.93,0,0,0,0,0,0,97.17,0,0.98,0,0,16.69,0,0,0
 72-82,0,0,0,0.98,54.97,0.98,2.94,0.98,0,9.82,0.98,0,0,1.96,0,0,122.71,0,0,0,0,13.74,0,0,0
 84-94,0,0,6.37,1.06,28.68,0,1.06,0,0,8.5,1.06,0,0,1.06,0,0,45.67,0,0,0,0,8.5,1.06,1.06,0
 96-106,0,0,1.09,1.09,48.09,0,0,0,0,26.23,0,1.09,0,1.09,1.09,0,51.36,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0.77,45.96,0,1.53,0,0,6.13,0,0.77,0,0,0,0,67.4,0,0,0,0,2.3,0,0,0
120,0,0,1.96,3.92,70.55,0,1.96,1.96,0,19.6,0,0,0,0,0,1.96,109.75,1.96,0,0,0,3.92,0,0,0
