stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,13.14,0,5.26,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,144.76,0,0,0,22.03,0,9.44,0,0,0,0,0
 14-21,0,0,2,15,1,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,61,0,0,9,2,2,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,1.64,0,0,0.82,0,1.64,0,0.82,0,3.28,0.82,3.28,8.21,0,0.82,2.46,9.03,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0,0.81,4.83,0,3.22,4.83,0,0,0.81,1.61,10.47,0,0,0.81
 48-58,0,0,0,0,0,1.72,0.57,1.72,1.15,0,0,0.57,1.72,0,1.72,0,0,0,6.89,0,1.72,6.89,0,1.15,1.15,0.57,8.03,0,0,0
 60-70,0,0,0,0.98,0,2.94,3.93,3.93,8.83,0.98,0,15.7,2.94,0,5.89,0,0,0,15.7,0,4.91,9.82,0,0,3.93,0,0.98,0,0,0.98
 72-82,0,0,0,2.94,0.98,2.94,6.87,8.83,30.43,0,0.98,15.71,10.8,0,6.87,0,0,0.98,41.23,0,5.89,23.56,0,0,8.83,0,0.98,8.83,0,1.96
 84-94,0,0,0,4.25,0,7.43,10.62,3.19,40.36,0,2.12,10.62,12.74,0,4.25,0,0,0,15.93,0,15.93,26.55,0,0,9.56,1.06,1.06,35.05,0,0
 96-106,0,0,0,6.56,1.09,3.28,20.76,1.09,37.16,0,2.19,4.37,20.76,1.09,5.46,0,1.09,1.09,30.6,1.09,22.95,38.25,0,0,21.86,0,0,67.76,1.09,0
108-118,0,0,0,12.26,0,1.53,31.4,4.6,39.06,0,5.36,3.83,22.21,0,6.89,0.77,0.77,0.77,33.7,0,13.79,19.92,0,0,13.02,0,0.77,70.47,0.77,1.53
120,0,0,0,11.76,0,1.96,11.76,1.96,13.72,0,1.96,0,11.76,1.96,7.84,0,0,0,33.32,0,13.72,7.84,0,0,15.68,0,3.92,25.48,0,0
