stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,39.53,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,2.63,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,3,0,1,0
 24-34,0,0,11.49,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,73.88,0,0,0,0,0,0,1.64,0.82,17.24,0.82
 36-46,0,0,5.64,0,0,0,3.22,0,0,0,0,0,0,1.61,0,0,152.27,0,0,0,0,0,0,0.81,0,37.06,0
 48-58,0,0,4.59,0,0.57,0,13.2,0.57,1.15,0,0,0,0,1.72,0,0,173.86,0,0,0,0,0,0,0,0,16.07,0
 60-70,0,0,1.96,0,0.98,0,31.41,0,0,0.98,0.98,0,0,2.94,0,0,359.24,0,0,0,0,0,0,0,0,15.7,0
 72-82,0,0,14.72,0.98,1.96,0,43.19,0,2.94,0.98,0.98,0,0,8.83,0,0,374.99,0,0,0,0,0,0,1.96,0,11.78,0
 84-94,0,0,15.93,0,2.12,0,43.54,0,2.12,0,0,1.06,1.06,5.31,1.06,1.06,202.85,0,0,0,1.06,0,0,0,0,5.31,0
 96-106,0,0,6.56,0,2.19,1.09,37.16,1.09,6.56,0,0,0,0,4.37,0,0,191.25,0,0,0,2.19,0,0,1.09,0,2.19,0
108-118,0,0,10.72,0,3.06,0,37.53,0,4.6,0.77,0,0,0.77,5.36,0,0,196.09,0,0.77,0,0,0,0,0,0,3.06,0
120,0,0,3.92,0,0,0,43.12,0,1.96,0,0,0,0,5.88,0,0,160.7,0,0,0,0,0,0,0,0,1.96,1.96
