stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,28.32,6.29,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,0,7,0,0,0,0,1,5,0,1,44,0,1,0,0,0,6,0,5,16,0,2,1
 24-34,0,0,0,1.64,0.82,11.49,0,0,1.64,0.82,0.82,5.75,0,3.28,104.25,0,1.64,0.82,0,1.64,0,0,1.64,21.34,0,1.64,0
 36-46,0,0,0,0.81,0,3.22,0,0,2.42,0,0,3.22,0,0.81,28.2,0,0,0.81,0,0,0,0.81,0,4.03,0,0,0
 48-58,0,0,0,0.57,0.57,22.38,0,0.57,8.03,0,0,8.61,0.57,2.3,32.13,0.57,0,0,0,0,0,0,0,10.33,0.57,0.57,0
 60-70,0,0,0,0.98,0,5.89,0.98,0,1.96,0.98,0.98,3.93,0,0.98,10.8,0,0,0,0,0,0,0.98,0,2.94,0,0,0
 72-82,0,0,0,0,0,4.91,0,0.98,0.98,0,0,3.93,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,1.06,0,0,2.12,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,1.09,0,0,4.37,1.09,0,5.46,1.09,1.09,2.19,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,1.53,0,0,2.3,0,0,0,0.77,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,5.88,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0
