stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,224.02,5192.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.14,0,0,0,0,0,0,0,0,0
  5-6,208.41,2169.89,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,545.54,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,10.51,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,105.15,0,0,0,42.06,0,84.12,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,62.94,9.44,0,0,34.62,0,47.2,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,30,18,0,3,0,0,0,6,1,0,0,73,0,0,0,0,1,15,0,3,19,5,2,3,0,0,722,0,4,9,5,4,0,0,0,0
 24-34,0,0,0,4.1,14.78,2.46,0,4.93,0.82,0,1.64,4.93,0.82,0,0.82,158.43,0,8.21,0,0,4.1,41.86,0,4.1,97.68,0,35.3,4.1,0,0,1167.26,0,0,10.67,0,10.67,0,4.1,0,0
 36-46,0,0,0,0,16.92,0,0,7.25,5.64,0,0.81,4.83,2.42,0.81,0,51.56,0,4.83,0,0,4.83,28.2,0,1.61,84.6,0,34.64,1.61,0,0,963.58,0,0,5.64,0,8.86,0,0.81,0,0
 48-58,0,0,0,0,23.53,0,0,12.05,10.33,0.57,1.72,2.3,16.64,0,0.57,25.25,0,10.33,0,0,4.59,20.66,1.15,1.15,49.35,0.57,29.84,2.3,0,0,713.24,0,0,2.87,0,8.61,0,0.57,0,0
 60-70,0,0,0,0,38.28,0,0,13.74,10.8,0.98,5.89,1.96,11.78,0,0,28.46,0,4.91,0,0,3.93,16.69,0,0,24.54,0,24.54,0,0,0,549.65,0,0,7.85,0,1.96,2.94,0,0,0.98
 72-82,0,0,2.94,0.98,89.33,0.98,0,15.71,18.65,0,4.91,16.69,5.89,0,0,85.4,0,24.54,0,0,11.78,33.38,0,0,29.45,0,50.06,4.91,0,0,633.17,0,0,3.93,0,0,15.71,1.96,0,0
 84-94,0,0,1.06,2.12,175.24,2.12,1.06,4.25,45.67,1.06,5.31,44.61,9.56,0,0,139.13,0,27.61,1.06,1.06,3.19,46.73,1.06,1.06,27.61,0,103.02,4.25,0,0,1683.33,0,0,10.62,0,0,53.1,1.06,0,1.06
 96-106,0,0,1.09,0,292.88,4.37,0,13.11,81.96,1.09,6.56,89.61,1.09,0,0,196.71,0,51.36,3.28,0,12.02,68.85,2.19,1.09,51.36,1.09,155.18,12.02,0,3.28,1709.21,0,0,10.93,0,0,113.66,0,1.09,1.09
108-118,0,0,0.77,2.3,235.92,0,0,10.72,114.13,0,6.89,81.19,0,0,4.6,176.17,1.53,33.7,1.53,0,9.96,60.51,0,3.06,32.94,0,91.15,6.89,0,0,1413.97,0,0,12.26,0,0,110.3,0.77,0,2.3
120,0,0,0,0,156.78,0,0,5.88,76.43,1.96,9.8,33.32,0,0,1.96,72.51,0,7.84,0,0,1.96,29.4,1.96,1.96,35.28,0,41.16,3.92,0,0,840.75,0,0,7.84,0,1.96,33.32,1.96,5.88,0
