stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,19,7,16,0,0,0,7,2,0,0,0,0,0,0,10,0,11,184,3,5,0,4,0,27,2,1,32,74,0,2,0,1
 24-34,0,0,0,0,0,0,23.8,0,0,0,0.82,0,0.82,0,0,0,0.82,0,21.34,0,4.93,173.2,0,0.82,0,0,0.82,0,0,0,1.64,28.73,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,34.64,0,0,0.81,6.45,0,0.81,0,0,0,0.81,0,15.31,0,2.42,114.41,0,0.81,0.81,0,1.61,0,0.81,0,0,25.78,0,3.22,0,0.81
 48-58,0,0,0,0,1.15,0,29.84,0,0,0.57,5.74,0.57,0,0,0,0,0,1.15,17.21,0,3.44,74.02,0,0,1.72,0,0.57,0,0,0,0,14.92,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,43.19,0.98,0,0.98,5.89,0,0,0,0,0,0,0,28.46,0.98,1.96,66.74,0,2.94,0,0,0.98,0,0,0,0,6.87,1.96,1.96,0,0
 72-82,0,0,0,0,2.94,0,27.49,0,0,0,7.85,0,0.98,0.98,0,0,0.98,0,30.43,0,7.85,75.59,0.98,0,0.98,0,0.98,0,0.98,0,0,1.96,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,21.24,0,0,1.06,10.62,2.12,0,0,2.12,0,1.06,0,9.56,0,5.31,30.8,0,0,0,0,0,0,0,0,0,4.25,0,3.19,1.06,0
 96-106,0,0,0,0,4.37,0,18.58,0,0,0,6.56,0,0,1.09,1.09,0,0,0,12.02,1.09,2.19,26.23,0,1.09,1.09,0,3.28,0,0,0,0,4.37,0,3.28,0,0
108-118,0,0,0,0,1.53,0,9.19,0,1.53,0,3.83,1.53,0.77,0,0,0.77,0,0.77,10.72,0.77,2.3,31.4,0,0.77,0.77,0,0.77,0,0,0,0,1.53,0,2.3,0,0.77
120,0,0,0,0,1.96,1.96,3.92,0,0,0,5.88,0,1.96,0,0,0,0,0,3.92,0,1.96,23.52,0,0,0,0,1.96,0,0,0,0,1.96,0,0,3.92,0
