stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23,1,0,17,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,1,480,0,0,2,1,0,0,1,0,3,363,0,0,0,0,0
 24-34,0,0,0.82,0,13.95,1.64,0,130.52,0,0.82,0,27.91,0,0,0,0,0,0,0,0,0,13.13,0,3.28,2327.95,0,5.75,4.1,0,0,0,0,0,2.46,758.47,0,0,4.1,0,0
 36-46,0,0,0,0,5.64,0,0,477.76,0.81,0,0.81,24.17,0,0,1.61,0,0,0,0,0.81,0.81,8.86,0.81,6.45,4331.28,0,8.86,3.22,0,0,2.42,0,0,0,925.71,0,0,2.42,0,0
 48-58,0.57,0,0,0,8.03,0.57,0,960.55,0,2.3,2.3,64.27,0,0.57,0.57,0.57,0,0,1.72,0.57,1.15,16.64,1.15,8.03,5215.89,0.57,1.15,1.15,0,0.57,1.15,0,0.57,0,893.99,0,0,4.59,0,1.72
 60-70,0,0,0,0,3.93,0.98,0,1378.06,0.98,0,0.98,38.28,0,0,0,0.98,0,0,1.96,0,0,23.56,0,2.94,4344.22,0.98,0.98,1.96,0,0,1.96,0,0,0,563.39,0,0,9.82,0,0.98
 72-82,0,0,0.98,0,15.71,1.96,0,1264.38,0,0,1.96,63.81,0.98,0,0,0.98,0.98,1.96,0,0.98,0,48.1,1.96,9.82,3079.47,0,0.98,2.94,0,0,0.98,0,0.98,0,265.05,0.98,4.91,16.69,0.98,0.98
 84-94,0,0,0,0,33.99,1.06,0,842.2,0,1.06,1.06,71.16,1.06,0,2.12,3.19,1.06,1.06,0,0,1.06,45.67,9.56,10.62,1608.99,0,2.12,7.43,0,2.12,2.12,0,0,0,170.99,1.06,2.12,16.99,1.06,0
 96-106,0,0,0,0,18.58,3.28,0,538.77,2.19,0,1.09,38.25,1.09,0,2.19,3.28,0,1.09,1.09,1.09,0,27.32,1.09,7.65,1173.72,2.19,2.19,4.37,0,0,1.09,0,0,0,53.55,0,3.28,16.39,1.09,1.09
108-118,0,0,0,0,12.26,0.77,0.77,376.85,0.77,0.77,0,36.77,1.53,0,0,3.06,0,0,0,0.77,0,22.98,2.3,2.3,1095.33,0,3.83,6.89,0,0.77,0.77,0,0.77,0,26.81,1.53,0.77,10.72,0.77,0
120,0,0,0,0,13.72,1.96,1.96,307.69,0,1.96,0,31.36,0,0,0,1.96,1.96,0,1.96,0,0,19.6,1.96,0,938.74,1.96,5.88,3.92,0,0,0,0,3.92,0,17.64,0,1.96,11.76,0,0
