stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0
  7-9,0,10.51,0,0,65.72,0,0,0,0,0,0,0,0,299.67,13.14,0,26.29,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,25.18,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,1,2,0,0,0,0,1,5,0,0,0,12,1,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0.82,4.93,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0.81,0.81,0,0,0.81,1.61,0,0
 48-58,0,0,0,0,0,0,1.15,0.57,0,0,1.72,0,0,6.31,0.57,0,0,0,1.15,2.87,0,0
 60-70,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0,7.85,0,0,0,0.98,1.96,1.96,0,0
 72-82,0,0,0,0,0.98,0,0.98,1.96,0,0,1.96,0,0,6.87,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,0,3.19,1.06,0,1.06,1.06,0,0,3.19,0,0,0,0,3.19,0,1.06,1.06
 96-106,0,0,0,1.09,1.09,0,1.09,1.09,0,0,0,0,1.09,7.65,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0.77,0.77,0,4.6,1.53,0,0,0,0.77,0,4.6,0,0,0,0,4.6,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,9.8,0,0,0,0,1.96,0,0,0
