stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,8,1,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,1.64,9.03,0,0,2.46,0,0
 36-46,0,0,2.42,2.42,0,0,0,4.83,0,0,3.22,0,0
 48-58,0,0.57,1.15,1.15,1.72,0,0,3.44,0,0.57,1.15,0,0.57
 60-70,0,0,0.98,1.96,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,3.28,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96
