stage,axial,blastomeres,erythrocytes,eye,glial,immune,neural,olfactory,paraxial_mesoderm,pronephros,somites,vasculature
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,10.51,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0.82,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,13.74,0,0,0,0,0,0.98
 84-94,0,0,3.19,0,0,11.68,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,19.67,2.19,0,0,0,0,3.28
108-118,0,0,1.53,0,0,21.45,0,0,0,0,0,0.77
120,0,0,0,0,0,39.2,1.96,0,0,0,0,1.96
