stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,144.96,3057.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0
  5-6,116.46,1538.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,18.39,0,0,0,0,0
  7-9,10.51,2.63,0,13.14,0,0,0,10.51,0,0,0,15.77,0,0,0,0,160.35,5.26,0,0,55.2,0,7.89,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,9.44,0,0,0,9.44,0,0,0,0,53.5,0,0,0,12.59,0,3.15,0,3.15,0,0
 14-21,0,0,1,0,13,1,0,3,0,6,2,1,1,0,0,0,12,0,1,2,0,5,0,4,1,5,11
 24-34,0,0,0,0.82,4.1,0,0,0,0.82,4.1,0.82,0,0,0.82,0,0,8.21,0,3.28,0.82,0,4.93,0,0,2.46,0,9.03
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,5.64,0,0.81,0,0,2.42,0.81,0,1.61,0,5.64
 48-58,0,0,0,0,0.57,0,0,2.3,1.15,0.57,0,0.57,0,0.57,0.57,0,4.02,0,1.72,0,0,2.3,0,0,0,0,2.3
 60-70,0,0,0,0,0,0,0,2.94,0,0,0.98,1.96,0,0,0,1.96,7.85,0,0.98,0,0,2.94,0,0,0.98,0,4.91
 72-82,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,5.89,0,1.96,1.96,0,0.98,0,0,0,0,1.96
 84-94,0,0,1.06,0,2.12,0,0,1.06,0,0,0,2.12,1.06,2.12,0,0,2.12,0,1.06,0,0,4.25,0,0,1.06,0,2.12
 96-106,0,0,1.09,0,9.84,0,2.19,1.09,1.09,1.09,1.09,0,1.09,1.09,0,0,4.37,0,4.37,2.19,0,12.02,0,0,0,0,0
108-118,0,0,0,0.77,3.06,0,1.53,0,0.77,3.06,0,0,0,0,0,0,4.6,0,1.53,0,0,3.83,0.77,0,0,0,1.53
120,0,0,0,0,9.8,0,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,0,1.96,0,5.88,0,0,0,0,0
