stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,19.7,0,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,45.12,0.81,0,0,21.75,0,0,0
 48-58,0,0,0,1.72,0,1.15,0,0,0,0,0,85.5,0,0,0,20.66,0,0,0
 60-70,0,0.98,0,12.76,0,0,0,0,0,0,0,170.78,0,0,0.98,30.43,0,0,0
 72-82,0.98,0.98,0,18.65,0,1.96,0,0,0,4.91,0.98,180.63,0.98,0,0.98,18.65,0,0,0
 84-94,0,2.12,0,14.87,1.06,2.12,0,0,0,1.06,0,69.03,0,1.06,0,10.62,0,1.06,0
 96-106,0,1.09,0,13.11,0,4.37,0,0,1.09,0,0,65.57,1.09,0,1.09,3.28,0,0,1.09
108-118,0,0.77,0.77,9.19,0,9.19,0,0,0,0,0,51.32,0,0.77,0,1.53,0.77,0,0
120,0,0,1.96,9.8,0,17.64,1.96,1.96,0,1.96,0,97.99,0,0,0,5.88,0,0,0
