stage,epidermis,eye,glial,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,2,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82
 36-46,0,0.81,0,0,0.81,0,0.81,5.64,0,0,0,0,1.61
 48-58,0,0.57,0,0.57,0.57,0,0,1.72,0.57,0,0,0,0.57
 60-70,0,6.87,2.94,0,0,0,1.96,6.87,0,0,0,0,0.98
 72-82,0,1.96,0.98,0,0,0,0,5.89,0,0,0.98,0,0
 84-94,0,1.06,0,2.12,1.06,0,0,3.19,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0.77,0,0.77,0,1.53,0.77,0,3.06,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0
