stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,34.48,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0.81,0,0,2.42,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81,0,0,0,132.13,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0
 48-58,0,0,0,0,0,11.48,0,0,0.57,5.16,0,0.57,0,0,0,0.57,0.57,0,6.89,0,0,0,271.98,0,0,0,0,0,0,0,0,0,20.08,0,0,0,0.57,0
 60-70,0,0,0.98,0.98,0,43.19,0,0,0.98,8.83,0,0,0.98,0,0,0,0,0,38.28,0,0,0,773.44,0,0,0.98,0,0,0,0,0,0,47.11,0,0.98,0,0,1.96
 72-82,0,0,9.82,4.91,0,100.13,0,0,2.94,19.63,0.98,0,0,0,0.98,0,0.98,0,130.56,0,5.89,1.96,1024.85,0,0,0.98,0,0.98,3.93,0,0,0,57.92,0,6.87,1.96,4.91,0.98
 84-94,0,0,8.5,2.12,0,79.65,0,0,0,18.05,0,0,0,0,0,0,0,0,93.46,0,4.25,1.06,549.07,0,1.06,1.06,0,1.06,3.19,0,0,0,29.74,1.06,5.31,0,1.06,0
 96-106,0,0,9.84,1.09,0,81.96,0,1.09,1.09,19.67,0,1.09,0,1.09,1.09,0,1.09,0,113.66,0,8.74,2.19,525.66,0,0,1.09,0,4.37,3.28,0,0,0,17.49,1.09,1.09,0,2.19,2.19
108-118,0,0,9.19,2.3,0.77,49.79,0.77,1.53,0.77,14.55,0.77,0.77,1.53,0,0,0,1.53,0.77,114.89,0,4.6,1.53,792.01,0,0,0.77,0,3.06,2.3,0,0,0,16.85,0,5.36,0,2.3,0
120,0,0,9.8,0,0,48.99,0,0,0,17.64,0,1.96,3.92,1.96,0,0,0,0,88.19,1.96,3.92,0,940.7,1.96,0,1.96,0,3.92,3.92,0,0,3.92,23.52,0,3.92,0,0,0
