stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,spinal.cord
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.1,1.64,0,1.64
 36-46,0,0,0,0,0,0,0,0,3.22,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,0.57,2.87,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,4.91,0,0,1.96
 84-94,0,0,0,1.06,0,0,4.25,0,3.19,0,0,1.06
 96-106,0,0,0,0,0,1.09,1.09,0,2.19,0,0,0
108-118,0,0,0.77,0.77,1.53,0,0,0,6.89,0,0,0
120,0,0,0,0,0,0,0,0,5.88,0,0,0
