stage,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,14,1,0,0,24,0,0
 24-34,0.82,0,15.6,1.64,0.82,49.25,0.82,0,0.82,98.5,0.82,0
 36-46,0,0.81,13.7,0.81,0,35.45,0,0,1.61,79.76,0.81,0
 48-58,0.57,0.57,8.03,2.87,0,12.62,0,0.57,5.16,30.99,0.57,0
 60-70,0,1.96,3.93,0.98,0,3.93,0,0,2.94,4.91,0.98,0
 72-82,0,1.96,5.89,2.94,0,3.93,0,0,0.98,2.94,0,1.96
 84-94,0,1.06,2.12,0,0,1.06,0,0,2.12,4.25,5.31,0
 96-106,0,0,3.28,2.19,0,2.19,0,0,3.28,0,0,0
108-118,0,1.53,4.6,0.77,0.77,1.53,0,0,3.06,1.53,2.3,0
120,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0
