stage,erythrocytes,eye,glial,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0.82
 36-46,0,2.42,0,0,0,0.81,2.42,0,0,0,0,0.81,0
 48-58,0,5.74,0,0,0.57,0,1.15,0,0,0,0,0.57,0
 60-70,0,0.98,0,0,1.96,0,0,0,0.98,0,0,0,0
 72-82,0.98,1.96,0,0,0.98,0,2.94,0.98,2.94,0,0,0,0
 84-94,0,2.12,0,1.06,1.06,1.06,3.19,0,3.19,0,2.12,0,0
 96-106,0,1.09,0,0,3.28,0,0,0,5.46,0,0,0,0
108-118,0,1.53,0.77,0,2.3,0,3.06,0,3.06,0,0,0,0
120,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0
