stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,7.89,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,37.76,0,9.44,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0
 24-34,0,0,0,0,0.82,0,1.64,0.82,0,0.82,0,0,4.1,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,4.83,0,0,0.81,1.61,0
 48-58,0,0,0,0.57,2.87,0.57,0,0,0.57,0.57,0,0,1.72,0.57,0,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0,0,0.98,1.96,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,1.06,0,1.06,1.06,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,2.19,0,1.09
108-118,0,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0,2.3,0,0,3.06,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,3.92,0,0
