stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.53,34.17,0,0,651.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,53.5,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,475.19,28.32,0,0,783.6,0,0,6.29,9.44,62.94,0,0,6.29,0,0,0,0,0
 14-21,1,3,16,304,40,23,0,0,0,62,29,1,1,0,2,0,1,0,2,115,0,0,69,1792,52,0,53,259,0,34,0,634,3,4,115,1126,0,0,4,0,0
 24-34,0,0,11.49,108.35,1.64,37.76,0,1.64,4.93,64.85,11.49,0,4.93,0,0,0,10.67,4.93,0,121.49,0.82,0,54.18,2142.43,20.52,0.82,25.45,0.82,0,64.03,0,0.82,0,1.64,55,654.22,0,0,13.95,0,1.64
 36-46,0,0,0,11.28,0,24.98,0,0,7.25,20.95,2.42,0,0,0,0,0.81,3.22,0,0,34.64,0.81,1.61,16.92,554.3,5.64,0,4.03,0,0,14.5,0,0,0,1.61,0,253.79,0,0,4.83,0,0.81
 48-58,0,0,0,3.44,0,67.14,0,0,6.89,18.36,0,0,1.15,0,0,0,0.57,1.15,0,34.43,0,1.72,16.07,131.4,2.3,0,2.87,0,0.57,2.3,0,0,0,0,0,61.97,0,0,3.44,0.57,0
 60-70,0,0,0,0.98,0,98.15,0.98,0,6.87,5.89,0,0,0,0,0,0.98,0.98,0.98,0,21.59,0,1.96,5.89,64.78,0,0,0,0,1.96,1.96,0,0,0,0,0,16.69,0.98,0,0,0,0
 72-82,0,0,0,0,0,92.28,0,0,5.89,8.83,0,0,1.96,0,0,0,0,0,0,24.54,0,0.98,7.85,51.05,0,0,0.98,0,0,8.83,0,0,0,0,0,13.74,0,0.98,1.96,0,0
 84-94,0,0,0,1.06,0,63.72,0,0,1.06,7.43,2.12,0,0,0,1.06,1.06,0,0,0,7.43,0,2.12,5.31,21.24,0,0,2.12,0,0,19.12,0,0,0,0,0,5.31,0,1.06,1.06,2.12,0
 96-106,0,0,0,0,0,31.69,0,0,0,6.56,0,0,0,1.09,0,0,0,0,0,3.28,0,0,4.37,17.49,1.09,0,0,0,0,10.93,0,0,0,0,0,6.56,0,0,2.19,0,0
108-118,0,0,0,0,0,24.51,0,0,2.3,3.83,0,0,0,0,0,0,0,0,0,6.13,0,0,3.06,19.15,0,0,0,0,0.77,7.66,0,0,0,0,0,0.77,0,0,0.77,0.77,0.77
120,0,0,0,3.92,0,19.6,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,21.56,0,0,1.96,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0
