stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
 24-34,1.64,0,0,0.82,0,0,0,0,0,0.82,0,0,0.82,0,0,27.09,0,0.82,0,0,8.21,0,0,0
 36-46,0,0,0,12.09,0,0,0,0,0,0,0,0,1.61,0,0,58.81,0,0,0,0,19.34,0,0,0
 48-58,0,1.15,0,48.77,0.57,0,3.44,0,0,0.57,0,0,1.72,0,1.15,160.09,0,0,0,0,24.1,0,0,0.57
 60-70,0,0,0,43.19,0,0,4.91,0,0.98,0,0,0,2.94,0,0.98,155.08,0,0,0,0,23.56,0,0,0
 72-82,1.96,0.98,0,55.95,0,0,11.78,0,11.78,1.96,0,0,12.76,0,0,289.59,0,1.96,0,0.98,19.63,2.94,0,0
 84-94,0,0,0,25.49,0,0,4.25,0,5.31,2.12,0,0,3.19,0,0,63.72,0,0,0,0,4.25,0,0,0
 96-106,2.19,1.09,0,10.93,0,1.09,4.37,1.09,14.21,1.09,1.09,0,4.37,1.09,1.09,75.41,1.09,0,2.19,0,4.37,0,1.09,0
108-118,0,0,0.77,13.02,0,0.77,1.53,0,16.85,0,0,0.77,4.6,0,0.77,32.17,0,0,0,0.77,0.77,0,0,0
120,0,0,0,5.88,0,0,3.92,0,37.24,0,0,0,1.96,0,0,17.64,0,0,0,0,1.96,0,0,0
