stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,ionocyte,mesenchyme,neural,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,3,5,0,0,0,1,0,0,0,7,1,1,3,0,0
 24-34,0,2.46,0,0.82,18.88,0,0,0.82,0,0.82,20.52,0,0,1.64,0.82,0
 36-46,0,0,0,0,29,0,0,0,0,0,16.11,0,0,0,0,0
 48-58,0,0,0.57,0,18.94,0,0.57,0.57,0.57,0,9.18,0,0,0,0,0
 60-70,0,0,0,0,12.76,0,0,0.98,0,0.98,8.83,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,1.96,0.98
 84-94,0,0,0,0,3.19,0,0,0,0,1.06,3.19,0,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,0,2.19,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,3.92,0,1.96,0,0,0
