stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,18,4,3,0,0,0,4,1,0,2,0,0,0,0,1,0,7,0,0,6,51,2,0,1,1,0,0,6,1,0,8,19,0,0,10,0,0
 24-34,0,0,0,7.39,0,4.93,0,0,0,4.93,0,0,0.82,1.64,0,0,0,0.82,1.64,27.91,0,0,6.57,127.23,0,0.82,0,0,0,4.1,0,0,0,0.82,35.3,0,0,17.24,0,0
 36-46,0,0,0,3.22,0,23.36,0,0,1.61,2.42,0,0,0,0.81,0.81,0,0,0,1.61,29.81,0,1.61,8.86,156.3,4.03,2.42,0,0,0,4.03,0,0,0,0,33.03,0,0.81,8.86,0,0.81
 48-58,0,0,0,1.15,0,24.67,0,0.57,1.15,10.9,0,0,1.15,1.72,0,0,0,0,0,23.53,0,0.57,4.59,55.66,0,0,0.57,0,0,0.57,0,0,0,0,16.07,0,0,6.89,0,0.57
 60-70,0,0,0,4.91,0,63.8,0.98,0,2.94,8.83,1.96,0,0.98,5.89,0,0.98,0.98,0,0,51.04,0,0,2.94,40.24,0,0,0,0,0,4.91,0,0.98,0,0,7.85,1.96,0,10.8,0,1.96
 72-82,0,0.98,0,8.83,0,44.17,0.98,0,3.93,20.61,2.94,0,2.94,3.93,1.96,0,0.98,0,0,74.61,0,0.98,4.91,46.14,0.98,0,1.96,0,1.96,1.96,0,0.98,0,0,4.91,0,0.98,16.69,0.98,2.94
 84-94,0,0,0,5.31,0,39.3,0,0,6.37,5.31,2.12,0,1.06,7.43,2.12,1.06,2.12,0,1.06,42.48,0,2.12,1.06,25.49,0,0,0,0,0,9.56,0,0,1.06,0,3.19,1.06,2.12,12.74,2.12,1.06
 96-106,0,0,0,6.56,0,18.58,0,0,2.19,7.65,1.09,0,3.28,3.28,0,1.09,1.09,0,0,31.69,0,1.09,6.56,29.51,0,0,2.19,0,2.19,4.37,0,0,0,0,1.09,4.37,1.09,7.65,1.09,1.09
108-118,0,0,0,8.43,0,21.45,0.77,2.3,3.83,7.66,2.3,0,0.77,3.83,0,1.53,0,2.3,0,40.6,0.77,1.53,1.53,30.64,0,1.53,6.13,0,0,6.13,0,0,0,0,1.53,2.3,0.77,6.89,3.06,1.53
120,0,0,0,15.68,0,21.56,0,1.96,3.92,13.72,3.92,0,1.96,17.64,0,0,0,0,0,37.24,0,0,0,15.68,1.96,0,1.96,0,0,0,0,0,0,0,5.88,0,1.96,15.68,1.96,1.96
