stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,2,1,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0.82,0,0.82,0,0,39.4,0,0,0.82,0,0,8.21,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0,0.81,0,0,74.12,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,0,0,0,6.89,0,1.15,0,0,0.57,0,0,4.02,0.57,0,98.69,0,0,0.57,0,0,8.61,0,0,1.15
 60-70,0,0,0,0.98,0,0,32.39,0,1.96,0,0,2.94,0,0,0.98,0,0,331.75,0,0.98,0,0,0,7.85,0,0,0
 72-82,0,0,0,4.91,0.98,0,90.31,0,2.94,0.98,1.96,12.76,0,0.98,6.87,0,0.98,492.79,0,0.98,0.98,0,0,18.65,0,0,1.96
 84-94,0,0,0,5.31,0,0,78.59,1.06,4.25,1.06,0,22.3,0,0,8.5,1.06,2.12,295.25,0,1.06,1.06,0,0,9.56,0,0,2.12
 96-106,0,0,0,5.46,0,0,59.01,1.09,7.65,1.09,1.09,29.51,0,0,4.37,0,0,243.7,0,2.19,1.09,0,0,6.56,0,0,2.19
108-118,0,0,0.77,3.83,0.77,0,45.96,0.77,5.36,0.77,0,63.57,0,0.77,4.6,0,0,343.15,0,2.3,0.77,0,0.77,9.19,0.77,1.53,3.06
120,0,0,0,3.92,0,1.96,41.16,1.96,5.88,0,0,33.32,0,0,1.96,0,0,295.93,0,0,0,0,1.96,5.88,0,1.96,1.96
