stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,6.57,0.82,0.82,0,0,3.28,0
 36-46,0,0,0,0,0.81,0,0,0,9.67,0,0.81,0,0,2.42,0
 48-58,0,0.57,1.72,0,0.57,0,1.15,0,4.02,0,0,0,0,1.72,0.57
 60-70,0,0,2.94,0,0,0,3.93,0,3.93,0.98,0,0,0.98,0,0
 72-82,0,0,0.98,1.96,0,0,7.85,0,6.87,0.98,0,0,0,0,0
 84-94,0,0,2.12,0,0,0,2.12,1.06,1.06,0,2.12,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,2.19,0,2.19,0,0,0,0,0,0
108-118,0,0.77,1.53,0,0,1.53,0,0,1.53,0,1.53,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
