stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0.82,0,0.82,0.82,0,0,4.93,1.64,3.28,2.46,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,1.61,0,12.09,4.03,4.83,2.42,0,0,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0.57,0,0,0,0.57,0,0.57,3.44,1.15,0,11.48,10.33,2.3,2.87,0,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0.98,0,1.96,0,0,0.98,0,0,9.82,0.98,0,41.22,23.56,8.83,4.91,0,0,4.91,0,0,0,0,0,8.83,0,10.8
 72-82,0,0,2.94,5.89,0,0.98,2.94,2.94,0.98,10.8,0.98,0,40.25,17.67,10.8,10.8,0,0.98,2.94,0,0,0,1.96,0,9.82,0,20.61
 84-94,0,1.06,0,2.12,0,0,2.12,1.06,1.06,23.36,2.12,0,40.36,42.48,8.5,6.37,0,0,3.19,0,0,0,1.06,1.06,16.99,0,29.74
 96-106,1.09,3.28,1.09,7.65,0,0,6.56,0,4.37,50.27,3.28,1.09,76.5,31.69,14.21,15.3,1.09,0,18.58,1.09,0,0,0,1.09,9.84,0,52.46
108-118,0,1.53,0.77,1.53,0,0,3.83,0,1.53,13.79,1.53,0,58.21,20.68,9.19,6.89,0,0,15.32,0,0,0,0,2.3,6.13,0.77,30.64
120,0,0,0,1.96,0,0,1.96,0,1.96,27.44,0,0,25.48,23.52,3.92,11.76,0,0,7.84,0,0,0,1.96,0,7.84,0,27.44
