stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral.line,liver,mesenchyme,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0
 24-34,0,0,0,3.28,3.28,0,0,0,0,0.82,6.57,0,5.75,0,0,0,0,0,0,0
 36-46,0,0,0,16.11,1.61,0,0,0,0,0.81,21.75,0,3.22,0.81,0,3.22,0,0,0,0
 48-58,0,0,0,17.79,2.87,0,0,1.15,0,1.15,15.49,0,5.74,0,0,1.15,0,0,0,0
 60-70,0,0,0,59.87,7.85,0,0,6.87,0,0.98,6.87,0,15.7,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,38.28,5.89,0.98,0,14.72,0,2.94,16.69,0.98,30.43,0,0,0,0,1.96,0,0
 84-94,0,0,0,32.92,4.25,0,0,19.12,0,1.06,7.43,0,52.04,2.12,0,1.06,0,0,0,0
 96-106,0,1.09,2.19,21.86,5.46,0,0,44.81,0,0,7.65,0,77.59,1.09,0,1.09,0,0,0,1.09
108-118,0,0,0,19.15,2.3,0,0.77,29.11,0,1.53,6.13,0,52.09,0,0,0.77,0.77,0,0.77,0
120,0,0,0,17.64,7.84,0,0,21.56,1.96,0,15.68,0,66.63,0,0,1.96,0,0,0,0
