stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,151,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,59,0,0,2,0,0
 24-34,0,0,0,180.59,0,0,1.64,0,0.82,0,27.91,0,0,0,0.82,0.82,0,0,0,4.1,0.82,0,1.64,109.99,0,1.64,0,0,0,0.82,0,0.82,0,90.29,0,0,4.1,0,0
 36-46,0,0,0,40.28,0,0,5.64,0,0.81,0,115.21,0,0,4.83,0,0,0,0,1.61,4.83,0,0,0.81,205.45,0,0,0,0,0,2.42,0,0,0,99.1,0,0,1.61,0,0.81
 48-58,0.57,0.57,0,20.66,0,0,20.08,0.57,0.57,0,283.46,0,0,2.87,0,0,0.57,0.57,0,8.61,0,0.57,0,187.06,0.57,0,0,0,0,0.57,0,0,0,135.42,0,0,1.15,0,0
 60-70,0,0,0,27.48,0,0,24.54,0,1.96,0.98,584.99,1.96,0,3.93,0,0.98,0,0,0,14.72,0.98,0,0,177.66,0,0.98,0.98,0,0,0.98,0,0,0,99.13,0,0,0,0,2.94
 72-82,0,0,0,30.43,3.93,0,108.96,0.98,0,0.98,960.07,0.98,0,6.87,0,0.98,0,0,0,40.25,0.98,0.98,2.94,238.54,0,0,0.98,0,0.98,4.91,0,0,0.98,80.5,1.96,0.98,3.93,0.98,0.98
 84-94,0,0,0,59.47,0,0,161.43,0,3.19,0,710.5,0,0,4.25,0,1.06,0,1.06,0,22.3,1.06,1.06,2.12,167.8,0,0,7.43,0,0,1.06,1.06,0,0,94.52,1.06,0,1.06,3.19,3.19
 96-106,0,0,0,66.66,5.46,1.09,184.69,1.09,2.19,0,834.93,2.19,0,19.67,2.19,0,1.09,5.46,0,52.46,1.09,2.19,5.46,233.87,1.09,1.09,7.65,0,0,6.56,0,2.19,0,101.63,2.19,0,3.28,2.19,2.19
108-118,0,0,0,54.38,2.3,0,115.66,0.77,1.53,0.77,780.52,0,0.77,6.89,0,0.77,0.77,0.77,0,21.45,0.77,0.77,3.83,205.28,0,2.3,6.89,0,0,2.3,0,0,0,62.81,0,0.77,6.13,0,0
120,1.96,0,0,31.36,1.96,1.96,90.15,0,3.92,1.96,911.3,0,0,5.88,1.96,0,1.96,0,1.96,15.68,0,0,5.88,182.26,0,1.96,3.92,0,0,1.96,0,0,0,62.71,0,0,1.96,0,0
