stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,18.4,0,31.54,0,0,63.09,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,499.46,26.29,0,0,152.47,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,3.15,50.35,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,390.22,47.2,0,0,138.47,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,60,4,33,0,0,0,2,1,0,0,0,2,0,0,0,0,22,0,0,25,302,1,0,1,9,0,4,0,25,5,0,31,69,0,0,1,0,0
 24-34,0,0.82,0,0.82,15.6,2.46,45.15,0,0,1.64,13.13,0,0,0,0.82,0,0,0.82,0,1.64,47.61,0.82,0,26.27,419.46,6.57,6.57,4.93,0,0,4.1,0,0.82,3.28,0.82,5.75,79.62,0,0,8.21,0,0
 36-46,0,0,0,0.81,4.83,0,49.95,0,0.81,2.42,20.95,0,0,1.61,0,0,0,0.81,0,0.81,55.59,0,0.81,16.92,405.25,2.42,2.42,3.22,0,0,4.83,0,0,0,0.81,0,89.43,0,0,3.22,0,0.81
 48-58,0.57,0.57,0.57,0,8.03,0,70,1.15,2.3,2.3,40.17,0.57,0,1.72,0,0,1.72,0.57,1.72,0.57,79.76,0,4.02,13.77,309.28,2.3,3.44,4.02,0,0,2.87,0,0,0.57,0.57,0,73.45,0,0.57,2.87,0,0.57
 60-70,0,0,1.96,0,17.67,0.98,81.47,0,5.89,4.91,35.33,1.96,0,0,0,0,0,0.98,0.98,1.96,101.1,0,0.98,8.83,369.05,0.98,6.87,4.91,0,0.98,7.85,0,0,0,0.98,0,57.91,0,1.96,5.89,0.98,0
 72-82,0,0,1.96,0,19.63,0.98,107.98,0.98,2.94,6.87,68.72,4.91,0,3.93,4.91,0,1.96,1.96,0.98,0,179.64,0,3.93,15.71,394.63,0,9.82,6.87,0,0.98,5.89,0,0,0,0,0,35.34,0.98,2.94,17.67,2.94,1.96
 84-94,0,0,1.06,0,23.36,1.06,89.21,0,3.19,5.31,42.48,3.19,1.06,2.12,7.43,5.31,3.19,3.19,0,1.06,99.83,2.12,6.37,9.56,219.84,5.31,2.12,7.43,0,1.06,21.24,0,0,0,0,0,16.99,2.12,3.19,10.62,3.19,0
 96-106,0,0,1.09,0,33.88,3.28,75.41,1.09,12.02,6.56,50.27,5.46,0,6.56,7.65,6.56,2.19,5.46,1.09,0,112.56,3.28,2.19,9.84,209.83,2.19,10.93,13.11,0,0,20.76,0,0,2.19,0,0,14.21,2.19,4.37,10.93,10.93,1.09
108-118,0.77,0,0,0,36,1.53,51.32,0,6.13,6.89,40.6,4.6,0,0.77,8.43,1.53,4.6,3.83,1.53,1.53,81.96,0.77,5.36,11.49,242.04,1.53,3.06,17.62,0,5.36,16.85,0,0,0.77,0,0,8.43,3.83,2.3,12.26,0.77,6.89
120,0,0,0,0,37.24,3.92,47.03,0,3.92,5.88,35.28,5.88,0,1.96,13.72,3.92,5.88,1.96,1.96,1.96,70.55,1.96,3.92,3.92,246.93,5.88,11.76,11.76,0,1.96,27.44,1.96,0,3.92,1.96,0,9.8,5.88,3.92,5.88,3.92,0
