stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,8,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,59.92,0.82,0.82,0,1.64,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,9.67,0,0,1.61,0,0,0.81,0,0.81,0,0.81,211.89,3.22,0,0,4.03,49.15,0,0,0,0,0.81
 48-58,0,0,1.72,0,26.4,0.57,0,1.15,0,0,0,0,1.15,0,0,265.67,0.57,0.57,0,0.57,36.15,0,0,0,0,0
 60-70,0,0,0,0,68.71,0,0,2.94,0,0,0,0,0.98,0,0.98,461.32,1.96,0,0,0,51.04,0,0,0,0,0
 72-82,0,0.98,1.96,0.98,69.7,0,0.98,1.96,0,0,0,0.98,2.94,0,0,341.62,0,0,0,0,24.54,0.98,0,0,0.98,0
 84-94,0,0,3.19,2.12,54.16,0,0,7.43,0,1.06,0,0,1.06,0,0,172.05,1.06,3.19,0,0,18.05,0,0,0,0,0
 96-106,0,0,2.19,0,27.32,0,0,6.56,1.09,0,0,0,0,1.09,0,130.05,1.09,1.09,0,1.09,5.46,0,0,0,0,0
108-118,0,0,0.77,0,15.32,0,0,1.53,0,0,0,0,0,0,0,121.79,0.77,0.77,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,21.56,0,0,0,0,0,0,0,1.96,0,0,123.47,1.96,3.92,0,0,1.96,0,0,0,0,0
