stage,blastomeres,epidermis,fin.epithelia,gut,immune,lateral.line,neural,notochord,otic,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,12.26,0
  7-9,0,0,0,0,0,0,2.63,0,0,2.63,0
 10-12,0,0,0,0,0,0,9.44,3.15,0,0,0
 14-21,0,4,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,0.81,0,0,0,0
 48-58,0,0.57,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0.98,0.98,0,0,0.98,0,0
 84-94,0,1.06,4.25,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,0,1.09,1.09,1.09,0,0,0,0
108-118,0,0.77,0,0,0,1.53,0.77,0,0,2.3,0
120,0,3.92,0,0,0,0,0,0,0,5.88,0
