stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0.81,0.81,0,0.81,0,0,0,0,0,1.61,0,0,27.39,0,0,0.81,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0.57,2.87,0,1.15,0,0,0,0,0,4.02,0,1.15,34.43,0,0,6.31,0,0,0,0,1.72,0,0.57,0,0.57
 60-70,0,0.98,0,6.87,0,0.98,0.98,0,0,0,0,2.94,0,3.93,46.13,0,0,7.85,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,8.83,0,2.94,4.91,0.98,0,0,0.98,3.93,0,3.93,83.44,0,0.98,15.71,1.96,0,0,3.93,1.96,0,0,0.98,0.98
 84-94,0,8.5,0,0,0,7.43,1.06,2.12,0,1.06,1.06,6.37,1.06,2.12,98.77,0,0,2.12,0,0,0,3.19,0,0,0,0,0
 96-106,0,16.39,0,2.19,1.09,9.84,1.09,5.46,0,0,1.09,7.65,2.19,6.56,150.81,1.09,0,15.3,1.09,0,0,10.93,1.09,1.09,0,0,0
108-118,0,16.09,0,1.53,0,11.49,3.83,1.53,0,0.77,1.53,7.66,0,2.3,120.26,0,0.77,6.13,0.77,0.77,0,11.49,0,0,0.77,0,0
120,0,9.8,0,3.92,0,1.96,0,3.92,0,0,0,3.92,0,0,70.55,0,1.96,7.84,0,0,0,0,0,0,0,0,0
