stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,11,0,0,6,15,6,0,1,0,0,3,6,1,5,18,9,0,0,10,0,0
 24-34,0,0,0.82,0,0.82,0,4.1,17.24,0.82,0,0.82,0,1.64,4.1,0,0,0.82,0,5.75,73.06,0,0,27.09,54.18,4.1,0,0.82,0,0.82,89.47,0,0.82,42.68,34.48,11.49,0,0,16.42,0,7.39
 36-46,0,0,0,0.81,0.81,0,4.83,34.64,0.81,1.61,2.42,0,10.47,1.61,0,0,0,0.81,24.98,124.88,0,4.83,34.64,33.03,6.45,0.81,0.81,0,0.81,125.68,0,0.81,36.26,4.83,6.45,0,2.42,18.53,0,15.31
 48-58,0,0,0,0.57,0,0,17.21,25.82,2.3,2.87,15.49,0.57,12.62,2.87,0.57,0,0,0.57,29.26,236.98,0,11.48,37.87,46.48,4.02,0,0,0,1.15,107.88,0,0,32.71,0,14.35,0,2.87,30.41,0.57,33.28
 60-70,0,0,0,3.93,0,0,14.72,24.54,6.87,0.98,51.04,0.98,10.8,1.96,0,3.93,0,0,12.76,411.26,1.96,28.46,32.39,37.3,5.89,0,1.96,0,0,110.91,0,0,12.76,0,13.74,0,9.82,31.41,1.96,24.54
 72-82,0,0,0,6.87,1.96,0,42.21,29.45,3.93,4.91,137.43,0.98,30.43,2.94,0.98,1.96,1.96,0,17.67,680.29,0,48.1,46.14,53.01,1.96,0.98,1.96,0.98,11.78,116.82,0,0,16.69,0,20.61,0.98,27.49,72.64,23.56,29.45
 84-94,0,0,0,7.43,0,0,45.67,32.92,7.43,7.43,108.33,0,25.49,11.68,3.19,23.36,0,1.06,29.74,417.38,2.12,53.1,56.29,20.18,2.12,0,3.19,0,3.19,433.31,0,1.06,19.12,0,20.18,1.06,19.12,80.71,24.43,27.61
 96-106,0,0,0,18.58,1.09,0,28.41,49.18,14.21,12.02,93.98,1.09,37.16,12.02,3.28,8.74,0,3.28,19.67,413.1,3.28,48.09,34.97,56.83,3.28,1.09,5.46,1.09,10.93,269.93,0,1.09,16.39,0,24.04,1.09,25.14,81.96,28.41,18.58
108-118,0,0,0,12.26,0.77,0.77,23.74,36.77,19.92,7.66,104.94,1.53,19.15,5.36,5.36,29.87,0,3.06,30.64,410.56,6.13,40.6,45.96,47.49,3.83,0,1.53,0,9.19,288.77,0,2.3,22.21,0,12.26,0.77,19.15,91.15,18.38,16.85
120,0,0,0,33.32,5.88,0,27.44,48.99,3.92,1.96,62.71,1.96,25.48,11.76,0,17.64,0,0,9.8,305.73,5.88,29.4,52.91,39.2,1.96,0,0,0,7.84,125.43,1.96,0,15.68,0,15.68,0,15.68,66.63,21.56,7.84
