stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,21.03,2.63,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,75.53,9.44,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,1,11,2,0,6,0,3,1,0,0,1,0,0,5,0,0,52,2,1,0,2,0,12,11,16,0,0
 24-34,0,0,0,0,1.64,1.64,0,8.21,0,0.82,0,0,0,0,0,0.82,7.39,0,3.28,70.59,0,1.64,0.82,0,0,0.82,2.46,22.98,0.82,0
 36-46,0,0,0,0,1.61,0,0,16.11,0.81,3.22,0,0,0.81,0,0,0,8.86,0,0.81,62.84,0,0.81,0,0,0,0,0,12.89,0,0
 48-58,0,0,0,0,0.57,0.57,0,19.51,1.15,2.3,0,0,0,0,0,0,3.44,0.57,1.15,32.13,0,0,0.57,0,0,0,0,8.03,0.57,0
 60-70,0,0,0,0,0.98,0,0,16.69,0,1.96,0,0.98,0.98,0,0,0,12.76,0,1.96,27.48,0,0,0,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,1.96,0,16.69,0.98,1.96,0,0,0,0,0.98,0,14.72,0.98,0.98,19.63,0,0,0,0,0.98,0,0,0,1.96,0.98
 84-94,0,0,0,0,2.12,0,0,13.81,1.06,3.19,0,1.06,0,1.06,0,0,6.37,1.06,2.12,9.56,0,0,0,0,3.19,0,0,0,0,2.12
 96-106,0,0,1.09,0,1.09,1.09,1.09,3.28,0,2.19,0,0,0,1.09,1.09,0,4.37,0,1.09,13.11,0,0,1.09,0,3.28,0,0,0,3.28,0
108-118,0,0,0,0,1.53,2.3,0,6.13,0,0.77,0,0,0.77,0,0,0,3.06,0,0.77,11.49,0,0,0.77,0,0.77,0,0,0,0,0.77
120,0,0,0,1.96,7.84,1.96,0,7.84,0,1.96,0,0,5.88,0,0,0,0,0,1.96,3.92,0,0,1.96,0,0,0,0,0,0,0
