stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0
 24-34,0,1.64,1.64,1.64,0,0,0,0,0,0,0,0,0,0,0,10.67,2.46,0.82,1.64,0,0,0,0,0.82,2.46,0
 36-46,0,0,0.81,13.7,0,0,0,0,0.81,0,0,0,0,0.81,0.81,10.47,10.47,0,0,0,0,0,0,0.81,0.81,0.81
 48-58,0,0,0,9.75,0,0,0,0,3.44,0,0,0,0,2.87,0,7.46,1.15,0,1.15,0,0,0,0.57,2.3,1.15,0
 60-70,0,0,0.98,6.87,1.96,0,0,0,0,0,0,0,0.98,1.96,0,10.8,0,0,0,0,0,0,0,2.94,2.94,0
 72-82,0,1.96,1.96,6.87,6.87,0,0,0.98,0,0,0,0,1.96,3.93,0.98,19.63,0,0,1.96,0,0,0,0.98,2.94,1.96,0
 84-94,0,2.12,3.19,4.25,10.62,0,0,2.12,0,0,0,0,0,2.12,2.12,4.25,2.12,0,4.25,0,0,0,0,4.25,1.06,0
 96-106,0,2.19,3.28,6.56,40.44,1.09,0,2.19,0,1.09,1.09,1.09,0,1.09,4.37,14.21,0,0,2.19,0,2.19,0,0,4.37,2.19,0
108-118,0,0,5.36,3.06,41.36,0.77,0.77,4.6,0,0,0,0,0,3.06,6.13,13.79,0.77,0,3.06,0,0,0,0,3.06,0,0
120,0,0,1.96,3.92,39.2,0,0,3.92,0,0,0,0,0,0,0,15.68,0,0,3.92,0,0,0,0,1.96,0,0
