stage,axial,epidermis,erythrocytes,eye,glial,heart,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0.82,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0,2.42,0
 48-58,0,0,0,1.72,0,0.57,0,4.02,0.57,0,0,0.57,0
 60-70,0,0,0,1.96,0.98,0,0,5.89,0,0.98,0,0,0
 72-82,0,0.98,3.93,2.94,0,0,0.98,2.94,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,4.37,1.09,1.09,0,2.19,1.09,0,0,0,0,1.09
108-118,0,0,0.77,0.77,0,0,0.77,0.77,0,0,0,0,0
120,0,0,3.92,3.92,0,0,0,1.96,0,0,0,0,0
