stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,9.85,0,0,0,0,0.82,0,0
 36-46,0.81,0,1.61,0,0.81,0,0,0,0.81,0,15.31,1.61,0,0,0,4.83,0.81,0
 48-58,0,0,2.3,0,0.57,0,0,0,1.15,0.57,10.33,0.57,0,0,0,1.72,0,0.57
 60-70,0,0,4.91,0,1.96,0,0,0,1.96,0,14.72,0,0,0,0,4.91,0,0.98
 72-82,0,5.89,3.93,0,3.93,0,0,0,0,0,10.8,0,0.98,0,0,0,0,0
 84-94,0,5.31,3.19,0,1.06,0,1.06,1.06,1.06,0,12.74,0,0,0,0,0,0,0
 96-106,2.19,8.74,2.19,0,1.09,0,0,0,1.09,0,4.37,0,0,3.28,0,0,0,0
108-118,0,3.83,2.3,0,2.3,0.77,0,0,0.77,0,9.96,0,0,0.77,0,0,0.77,0
120,0,1.96,3.92,1.96,1.96,0,0,0,0,0,7.84,0,0,0,0,0,0,0
