stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,7,0,0,1,0,0,3,2,0,0,0,0
 24-34,0,0,4.1,0,4.1,0,0,0,1.64,0,0.82,0,0.82,0,0,0.82,0,0,0.82,11.49,0,0,0,3.28,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,1.61,0,0,0,0,1.61,0,0,0,0,0,0.81,0,5.64,0.81,0.81,1.61,4.03,0.81,0,0,3.22,0,0,0.81,0,0.81,0,0
 48-58,0,0,1.15,0,0,0,1.15,0.57,0,0,0.57,0,0,0,0.57,2.3,0,0,2.87,2.3,0,0,0,1.15,0,0,0.57,0,0,0,0.57
 60-70,0,0,3.93,0,4.91,0.98,0,3.93,0,0,0,0.98,0,0,0,5.89,0,0,0.98,3.93,0,0,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0,5.89,0,0,0.98,1.96,0,0,0,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,0,1.06,0,0,2.12,0,0,0,0,1.06,1.06,0,5.31,0,0,0,1.06,0,0,0,0,1.06,0,2.12,0,1.06,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,3.28,0,2.19,0,0,0,0,3.28,0,0,0,3.28,0,2.19,0,3.28,0,0,0,0,1.09,1.09,1.09
108-118,0,0,2.3,0,0,0.77,0.77,1.53,1.53,0,0.77,0,0,0,0.77,2.3,0,0.77,1.53,0,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,3.92,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,3.92,5.88,0,0,0,0,0,0,0,0,0,1.96,0
