stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,1,0,1,39,0,0,0,0
 24-34,0,0,0,0.82,0,5.75,0,0,1.64,0,0.82,0,0,0,0,0.82,0,0,0,0,0,202.75,0,3.28,0.82,0,0,1.64,0,0,0,0,77.98,0,0,0,0
 36-46,0,0,0.81,0,0,16.92,0,0,8.06,0,0,0,0,0,0,0,0,1.61,0,0,0.81,523.69,0,5.64,0.81,0,0,0.81,0.81,0,0,0,130.52,0,0,0.81,0
 48-58,0,0,1.15,0,0,53.36,0,0,22.38,0,0.57,0,0,0.57,1.15,0,0,4.59,0,0,0.57,706.35,0.57,2.87,0,0,0,1.15,0,0,0,0,140.01,0,0,0.57,0.57
 60-70,0,0,0,0.98,0,149.19,0,0,62.82,0,0,0,0,0.98,1.96,0,0,5.89,0,0,0.98,1199.42,0,2.94,0.98,0,0,0.98,0,0,0.98,0,118.76,0,0,1.96,0.98
 72-82,0,0,1.96,4.91,1.96,247.38,0,0,137.43,0,0,3.93,0.98,0,0,0,0.98,19.63,0,0,0,1183.88,0,2.94,0.98,0,0.98,0.98,0,0,0,0,80.5,0,0,1.96,1.96
 84-94,0,0,0,11.68,2.12,143.38,0,0,79.65,1.06,0,1.06,0,0,1.06,0,0,14.87,0,1.06,0,618.11,0,2.12,0,0,0,0,0,0,0,0,49.92,1.06,2.12,0,0
 96-106,0,0,1.09,7.65,3.28,111.47,0,1.09,64.48,0,0,2.19,1.09,0,0,0,0,19.67,1.09,0,2.19,577.02,1.09,4.37,2.19,0,0,2.19,0,0,0,0,24.04,0,0,1.09,2.19
108-118,0,0,0.77,5.36,0,116.43,0.77,0,53.62,0.77,0,1.53,0,0.77,0,0.77,0,13.02,0.77,0,2.3,603.58,0,4.6,2.3,0,0,2.3,0,0,0,0,18.38,0,0,0,0
120,0,0,0,11.76,1.96,109.75,1.96,0,68.59,1.96,0,5.88,0,0,0,0,0,15.68,0,1.96,1.96,834.87,1.96,9.8,1.96,0,0,9.8,0,0,0,0,31.36,0,0,0,0
