stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,30.65,294.22,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,6.13,0,6.13,12.26,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,110.41,2.63,39.43,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,6.29,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,18,1,0,0,2,1,3,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0.82,0,0,0,0,0,0,0,0,0,0,5.75,0.82,12.31,0,0,0,0,0,7.39,0,4.93,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,0,4.83,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,1.15,0.57,0.57,0,0,0,0,0,0,0,1.15,0.57,4.59,0,3.44,0,0,0,0,0,1.72,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,5.89,0,2.94,0,0,2.94,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,7.85,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,8.5,0,0,0,0,3.19,0,0,0,1.06,1.06,1.06
 96-106,0,0,0,1.09,0,1.09,1.09,0,0,1.09,0,0,0,0,1.09,0,0,0,5.46,2.19,2.19,0,0,3.28,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0.77,0.77,0,0.77,0.77,0,0,0.77,0,0,0,0,3.83,0.77,0,0.77,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
