stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,heart,immune,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,0,0,0,0,2,3,17,0,0,0,0,1,0,6,1
 24-34,0,0.82,0,0.82,0.82,0,2.46,0,0.82,0,0,0,0.82,2.46,0,5.75,0.82,0.82,0,1.64,0,0,0,2.46
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,2.87,0.57,0,0,0,0,0,1.72,0.57,7.46,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,1.96,0,8.83,0.98,0,0,0,0,0,0,1.96
 72-82,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,8.83,0,2.94,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,3.19,1.06,1.06,0,0,5.31,1.06,3.19,0,2.12,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,1.09,0,0,0,0,0,1.09,1.09,0,3.28,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,1.53,2.3,0,0.77,0,0,0.77,0,6.13,0.77,3.06,0,0.77,0,0.77,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,1.96,5.88,0,0,0,1.96,0,0,0,0
