stage,endocrine.pancreas,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,0.82,0.82,0.82,2.46,0,3.28,0,0,0.82,0.82,4.1
 36-46,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0.57,0.57,1.15,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,2.94,0,0,0.98,0,3.93,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,3.19,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,1.09,0,0,1.09,1.09,0,0,0
108-118,0.77,0,1.53,0,0,0,0,3.83,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
