stage,axial,blastomeres,endoderm,epidermis,eye,gut,hatching_gland,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle
  3-4,237.2,3096.81,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0
  5-6,153.24,3242.58,12.26,0,0,0,0,0,61.3,0,0,0,24.52,18.39,0,0,0
  7-9,13.14,13.14,26.29,0,28.92,0,7.89,0,373.28,13.14,0,0,113.03,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
