stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,47.61,0,0.82,0.82,0,0,13.95,0,0,0,0
 36-46,0,0,0,2.42,0,0,0.81,0,0,0,0,0,1.61,0,0,95.87,0,0,0,0.81,0,25.78,0,0.81,0,0
 48-58,0,0,0,17.79,0,0,0,3.44,0,0,0,0,1.72,0,0.57,95.25,0,0,0,0,0,18.36,0,0,0,0
 60-70,0,0.98,0,52.02,0,0,0,4.91,0,0,1.96,0,3.93,0,0,143.3,0,0.98,0,0,0.98,13.74,0,0,0,0.98
 72-82,0,0.98,0,58.9,0,0,0.98,6.87,0,0.98,0,0.98,6.87,0,1.96,148.23,0,0.98,0,0,0,14.72,0.98,0.98,0,0
 84-94,0,0,0,42.48,0,0,1.06,7.43,0,0,0,0,3.19,1.06,0,54.16,0,0,0,0,0,4.25,0,1.06,0,0
 96-106,0,1.09,0,27.32,0,0,0,4.37,1.09,0,0,0,5.46,0,0,43.71,0,0,0,0,0,3.28,0,2.19,1.09,1.09
108-118,0,2.3,0,14.55,0,0,0,5.36,0,0,1.53,0,6.13,0,0.77,59.75,0,0.77,0,0,0,1.53,0,0,0,0
120,0,0,0,17.64,1.96,1.96,0,3.92,0,0,0,0,0,0,0,48.99,1.96,0,1.96,0,0,0,0,0,0,1.96
