stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,12,0,1
 24-34,0,0,3.28,0.82,0,0,0.82,0,0,0.82,0,3.28,0,0,1.64,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,1.61,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,1.15,0,0,1.15,0,2.3,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,3.19,0,9.56,0,0,0,0,0,1.06
 96-106,0,0,1.09,1.09,0,0,0,1.09,0,0,0,1.09,1.09,0,3.28,0,10.93,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0.77,0,0,0.77,0,0,0,0,0.77,2.3,0,8.43,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,17.64,0,0,0,0,1.96,0
