stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,6,0,0,0,0,0,0,1,1,11,2,0,0,0,0,2,4,0
 24-34,0,0,0,0.82,0,1.64,0,0,0.82,0,0,0,4.93,3.28,25.45,0,0,0,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,9.67,1.61,21.75,0,0.81,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,1.15,0.57,1.15,0.57,0.57,0,0,8.03,0.57,20.08,0.57,0.57,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0,2.94,0,32.39,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0,5.89,0,0,29.45,0,0,0.98,6.87,0.98,26.5,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,12.74,0,3.19,0,2.12,0,21.24,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,8.74,0,1.09,15.3,0,1.09,0,1.09,0,30.6,0,0,0,1.09,0,0,3.28,0
108-118,0,0,0,0.77,0.77,20.68,0,0,13.02,0,3.83,0,6.13,0,39.06,0.77,0,0,0,0,0,0,0
120,0,0,1.96,5.88,0,9.8,1.96,0,13.72,0,0,0,3.92,1.96,29.4,0,0,0,1.96,0,0,1.96,0
