stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0,7.39,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,4.83,0,0,0.81,0,0,0,0,0,0,0,8.06,0.81,0,0,0,0,0,0,0,0,0
 48-58,0.57,0,9.75,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,172.75,0,0,0,0.98,0,0,0,0,0,0,7.85,0,0,0,0.98,0,0,0.98,0,0,0
 72-82,1.96,0,337.69,0,0,1.96,0,0,0,0,1.96,0,0,23.56,0,0.98,0,0.98,0,0,0.98,0,0,0.98
 84-94,0,1.06,311.18,0,0,1.06,0,0,0,0,1.06,0,1.06,10.62,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,246.98,1.09,1.09,3.28,0,1.09,0,0,1.09,1.09,0,13.11,0,0,0,1.09,0,0,0,1.09,0,0
108-118,1.53,0,166.98,0.77,0,6.13,0,0,0,0.77,2.3,0,0,11.49,0,0,0,0,0,0,0,0,0.77,0
120,1.96,1.96,213.62,0,0,3.92,0,0,1.96,0,0,0,0,9.8,0,0,1.96,1.96,0,0,0,0,0,0
