stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,11,1,0,0,0,0,0,0,0,6,0,0,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,2,47,1,4,0,0,0,0,0
 24-34,0,1.64,16.42,0,0,0,0.82,0,0,0,0,18.06,0.82,0,0,0,6.57,0,2.46,0,0,1.64,4.1,0,0.82,0,0,0,0.82,0,77.98,0,1.64,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,36.26,0,0,0,0,8.86,0,3.22,0,0,0,6.45,0,0,0,0,0,0.81,0,61.23,0,1.61,0,0,0,0,0
 48-58,0,1.15,0,0,0,0,2.87,0,0,0,0,55.09,0,0,0,0,12.62,0,1.72,0,0,0,10.9,0,0,0,0,0,0.57,0,41.31,0,3.44,0,0,0,0,0
 60-70,0,8.83,0,0,0,0,7.85,0,0.98,1.96,0,105.02,0.98,0,0.98,0,22.58,0,6.87,0,0,0.98,14.72,0,0,0,0,0,1.96,0,42.21,0,1.96,0,0,0,0,0
 72-82,0,30.43,0,0.98,0.98,0,24.54,0,0,0.98,4.91,262.1,0.98,0,0,0.98,60.86,0,12.76,0,0,0,59.88,0,0,0,0,0,3.93,0,70.68,0,4.91,0,0.98,0.98,0.98,2.94
 84-94,0,27.61,5.31,3.19,3.19,0,18.05,0,0,0,2.12,475.79,0,1.06,0,0,186.92,0,12.74,0,3.19,1.06,37.17,1.06,0,0,0,1.06,5.31,0,169.93,0,1.06,0,0,1.06,0,0
 96-106,0,45.9,10.93,3.28,4.37,1.09,20.76,1.09,2.19,0,6.56,615.27,0,0,0,0,204.36,1.09,17.49,0,0,2.19,115.84,0,0,2.19,0,1.09,7.65,0,144.26,0,3.28,1.09,0,1.09,0,2.19
108-118,0,27.57,14.55,6.89,0.77,0.77,9.96,1.53,1.53,0,4.6,636.52,0,0.77,0.77,0,388.34,0,16.09,0,0.77,1.53,92.68,0,0,0.77,0,0,1.53,0,140.17,0,3.06,0,0.77,3.06,0,2.3
120,0,23.52,7.84,3.92,1.96,0,7.84,0,1.96,0,1.96,442.91,0,0,1.96,1.96,194.02,0,7.84,1.96,3.92,0,80.35,0,0,0,0,0,0,0,76.43,0,3.92,0,0,1.96,0,0
