stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,1,0,0,0,0,0,1,0,12,0,0,0,0,0,2,0,1,2,0,0,0,0,0
 24-34,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,0,25.45,0,0.82,0,0,0.82,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0.81,0,0,0,2.42,0.81,14.5,0,0,0,0,0.81,0,0.81,0,4.03,0,0,0,0,0
 48-58,0,0.57,0,5.16,0,0,1.15,0,0,0,0,0,2.3,0,13.77,0,0,0,0,1.15,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,9.82,0,0,1.96,0,0,0,0,0,4.91,0,9.82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0.98,5.89,0.98,0,1.96,0,0,0,0.98,0,7.85,0,7.85,0,0,0.98,0,0.98,0,0,0,3.93,0.98,0,0.98,0,0.98
 84-94,0,1.06,1.06,2.12,0,0,0,1.06,0,0,0,0,3.19,0,4.25,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,2.19,0,1.09,2.19,0,0,1.09,0,0,1.09,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,1.53,0,0,0,0.77,0.77,0.77,0,5.36,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,1.96,0,0,0,0,1.96,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
