stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,heart,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,6.87,0,0,2.94,0,12.76,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,5.31,0,0,0,0,18.05,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,6.56,0,1.09,1.09,1.09,33.88,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,5.36,0,0,0.77,0,38.3,0,0.77,0,7.66,0,0,1.53,0,0,0,0.77,0
120,0,5.88,0,0,0,0,35.28,0,0,0,3.92,0,0,3.92,0,0,0,0,0
