stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.18,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,29,29,55,0,0,0,0,0,0,1,1,4,3,2,0,0,0,0,22,1,1,12,3,0,0,1,48,3,2,1,1,0,0,0,2,0
 24-34,0,0,4.93,23.8,8.21,4.93,0,0.82,0,0,0,0,0.82,0,6.57,2.46,12.31,0,0,1.64,0,4.1,3.28,2.46,24.63,0.82,4.93,0,0,165.81,0,11.49,3.28,0,9.03,0,0,11.49,0
 36-46,0,0,0.81,0.81,1.61,0.81,0,2.42,0,0,0,0,4.83,0,9.67,0.81,3.22,0,0,5.64,0,1.61,4.83,0.81,22.56,0.81,2.42,0.81,0,169.19,0,5.64,0,0,5.64,0,0,9.67,0
 48-58,0,0,0.57,0,2.3,0,0,6.31,0,0,0.57,1.72,2.87,0,9.18,1.15,2.3,0,0,5.74,0,2.87,3.44,0.57,12.62,0.57,1.15,0,0,154.35,0,2.87,0,0,1.72,0,0.57,17.79,0.57
 60-70,0,0,0.98,0,4.91,0.98,0,4.91,0,0,0,0.98,8.83,0,7.85,2.94,1.96,0,0.98,9.82,0,1.96,0,1.96,12.76,0,1.96,0,0,64.78,0,4.91,0,0,3.93,0.98,0.98,17.67,0.98
 72-82,0,0,2.94,0,1.96,0,0,2.94,0,0,0,0.98,12.76,0,10.8,2.94,0.98,0,0,3.93,0,0.98,1.96,0.98,11.78,0,1.96,0,0,34.36,0,2.94,0,0,0.98,0.98,1.96,21.6,0.98
 84-94,0,0,5.31,1.06,5.31,0,1.06,1.06,0,0,0,2.12,35.05,0,4.25,3.19,5.31,0,0,8.5,0,3.19,0,0,4.25,0,4.25,0,0,165.68,0,1.06,1.06,0,0,2.12,0,15.93,0
 96-106,0,0,0,6.56,15.3,2.19,5.46,7.65,0,4.37,0,2.19,46.99,0,7.65,6.56,2.19,0,1.09,5.46,0,3.28,4.37,0,14.21,0,4.37,0,0,318.02,0,2.19,0,0,1.09,1.09,2.19,18.58,0
108-118,0,0,2.3,6.89,18.38,0,10.72,7.66,1.53,4.6,0,0.77,30.64,0,6.13,3.06,5.36,0.77,0,6.13,0.77,1.53,3.83,0.77,12.26,0,3.06,0,0,176.17,0,3.83,0,0,0,1.53,3.06,11.49,0.77
120,0,0,0,1.96,5.88,0,3.92,0,0,7.84,0,0,19.6,0,7.84,11.76,1.96,0,3.92,1.96,0,3.92,0,0,17.64,0,1.96,0,0,82.31,0,3.92,0,0,0,1.96,0,3.92,0
