stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,1,0,1,32,3,61,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,1,6,0,0,1,2,0,0,2,7,0,0,1,0,0
 24-34,0,0,0,14.78,0,2.46,0,0,0,0,0,0,10.67,0,0,0.82,0,2.46,1.64,0,0,0.82,5.75,0,0,0,0,0,0,2.46,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,5.64,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,2.3,0,0,0,0,0,0,0,0,0,2.87,1.72,0,0,0.57,2.87,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,13.74,0,0.98,0,0,0.98,0,0,0,0,0.98,2.94,0,0,1.96,9.82,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,1.96,1.96,2.94,34.36,0,0.98,0,0.98,3.93,0,0,0,0,43.19,16.69,0,0,1.96,10.8,0,0,0,0,0,0,1.96,0.98,0,0,2.94,0,0.98
 84-94,0,0,0,0,1.06,3.19,6.37,38.23,0,0,2.12,0,8.5,0,0,0,0,206.04,10.62,0,0,1.06,12.74,0,0,0,0,0,0,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,5.46,4.37,30.6,45.9,1.09,1.09,8.74,10.93,16.39,1.09,2.19,2.19,1.09,408.72,62.29,1.09,0,8.74,77.59,1.09,1.09,3.28,0,1.09,8.74,2.19,0,1.09,1.09,5.46,1.09,0
108-118,0,0,0.77,0,5.36,3.06,110.3,35.23,0,0.77,3.83,6.89,24.51,0,4.6,0.77,0.77,983.5,71.23,0,0.77,5.36,81.96,0,0,0,0,0,6.13,1.53,0.77,0,0.77,6.13,1.53,2.3
120,0,0,0,0,3.92,5.88,39.2,33.32,0,0,5.88,5.88,15.68,0,0,0,0,360.6,50.95,0,3.92,7.84,27.44,1.96,0,0,0,0,5.88,3.92,1.96,0,0,1.96,0,0
