stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0.82,0.82,0,4.1,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,16.11,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,47.05,0,0,0.57,0,0,0,0,0,0,0,0.57,0,5.16,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,426.96,0,0,0.98,1.96,0.98,0,0,0,0,0,1.96,0.98,5.89,0,0,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,3.93,0,0,871.72,0.98,0,1.96,2.94,0,0.98,0.98,0,0,0,7.85,0.98,22.58,0.98,0,0,2.94,0,0,1.96,0.98,0,0,0
 84-94,0,4.25,2.12,0,903.79,1.06,1.06,0,3.19,0,0,0,0,0,0,7.43,3.19,15.93,0,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,8.74,0,0,742.04,2.19,0,0,4.37,0,0,1.09,1.09,2.19,0,4.37,1.09,17.49,0,1.09,1.09,5.46,0,2.19,0,0,0,2.19,0
108-118,0,0.77,0.77,0.77,520.09,0.77,0,0,5.36,0.77,0,0,0,1.53,0,6.13,1.53,25.28,0.77,0,0,2.3,0,0,0,0,0,1.53,1.53
120,0,3.92,1.96,0,525.22,0,1.96,0,0,0,0,0,0,0,0,5.88,1.96,23.52,0,0,0,0,0,0,0,0,0,0,0
