stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,16.42,0,7.39,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0.81,17.72,0,7.25,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,2.3,0,0.57,0,1.72,0,2.3,0,0,0,0,1.72,0,0.57,39.02,0.57,6.89,2.3,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,2.94,0,0,13.74,0,0.98,0,0.98,0,0.98,0,1.96,0,0.98,12.76,0,0.98,103.06,0,18.65,0.98,0,0,0,0,0,0,5.89,0,0,0,0.98,0
 72-82,0,0,0,4.91,2.94,0,31.41,0,0,0,2.94,0,3.93,0.98,7.85,0,0,34.36,0,0.98,168.85,0.98,10.8,5.89,0,0,0.98,0,0,0.98,5.89,0.98,0,0,0,0.98
 84-94,0,0,0,5.31,1.06,0,25.49,0,3.19,0,6.37,1.06,1.06,0,5.31,0,0,21.24,1.06,0,83.9,1.06,15.93,9.56,0,0,1.06,0,1.06,0,6.37,0,0,0,0,0
 96-106,0,1.09,0,4.37,2.19,1.09,32.79,1.09,3.28,1.09,9.84,1.09,3.28,0,10.93,1.09,0,17.49,0,2.19,90.71,1.09,40.44,6.56,0,0,3.28,1.09,0,0,4.37,0,0,1.09,0,0
108-118,0,0.77,0,1.53,0,0,21.45,0.77,3.06,0,7.66,0,0.77,0,14.55,0,0.77,13.02,2.3,0,98.04,1.53,22.21,8.43,0,0,0,0,0,0,3.06,0,0.77,0.77,0,0
120,0,0,0,1.96,1.96,0,27.44,0,1.96,0,11.76,0,0,0,7.84,0,0,7.84,1.96,0,105.83,0,25.48,5.88,0,0,0,0,0,0,3.92,0,0,0,0,0
