stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,1,0,0
 24-34,5.75,0,0,0,0,0,0,0.82,0,0,0,0.82,1.64,0,0,4.1,0.82,0,0,0,0.82,0,1.64,0,0,1.64,0,0.82
 36-46,6.45,0,0,1.61,0.81,0,0,0,0,0,0,0,4.03,0,1.61,2.42,0.81,0,0,0,3.22,0,3.22,0,0.81,0.81,0,0
 48-58,3.44,0,0,1.15,1.15,0.57,0,0.57,0,0.57,0,0,5.16,0,0.57,12.62,0,0,0,0,1.15,0,2.87,0,0,1.72,0,0
 60-70,3.93,0,0,2.94,5.89,0,0,0,0,0,0,0,6.87,0.98,0.98,12.76,0,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,1.96,0,0,1.96,2.94,0.98,0,0.98,0,0,0,0,3.93,0,0.98,15.71,0,0.98,0,0,0.98,0,2.94,0.98,0.98,9.82,0,0
 84-94,4.25,0,0,1.06,0,0,0,0,0,0,0,1.06,7.43,0,0,6.37,0,0,0,0,1.06,1.06,0,0,0,6.37,0,0
 96-106,2.19,0,0,6.56,3.28,2.19,0,2.19,1.09,2.19,0,1.09,1.09,0,0,5.46,0,0,0,1.09,2.19,0,0,0,1.09,3.28,1.09,0
108-118,3.83,0.77,0.77,5.36,0.77,0.77,0,0,0,0,0.77,0,4.6,0.77,0,4.6,0,0,0,0,0.77,0.77,0.77,0,0,5.36,0,0
120,11.76,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,9.8,0,0,1.96,0,0,0,0,0,0,3.92,0,0
