stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,34.17,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,2,1,1,0,0,1,4,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0,0,2.46,0,0,0.82,8.21,0.82,0,0,0,0.82,0,0,0.82,0,3.28,0,0,0,0.82
 36-46,0,0,0.81,0.81,2.42,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,8.86,0,0.81,0,0,0.81,0,0,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,0.57,6.31,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,9.75,0,0,0.57,0,0.57,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0.98,4.91,0,2.94,0.98,0,0,0,0.98,0,0.98,2.94,0.98,0,0.98,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93
 72-82,0,0,0,1.96,6.87,0,6.87,0,0,0,2.94,0,0,0,3.93,0,0,0,5.89,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,3.19,4.25,0,0,1.06,0,0,3.19,0,0,2.12,3.19,0,1.06,1.06,3.19,0,0,1.06,0,2.12,0,0,0,0,0,1.06,2.12,0,2.12
 96-106,0,0,1.09,1.09,0,0,4.37,3.28,0,1.09,5.46,1.09,0,0,3.28,0,0,1.09,0,0,0,0,0,5.46,0,0,0,0,0,0,6.56,1.09,0
108-118,0,0,0,2.3,2.3,0,1.53,0.77,0,0,0,0.77,0,1.53,1.53,0,0,0,5.36,0,0,0.77,0,1.53,0,0,0,0,0,0,0.77,0,0.77
120,0,0,1.96,1.96,1.96,0,0,0,0,0,0,1.96,0,0,5.88,0,0,1.96,1.96,0,0,0,0,1.96,0,3.92,0,0,1.96,0,1.96,0,0
