stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,somites,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,1.64,0,0,3.28,0,0,19.7,0.82,0,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,1.61,0,0,0,11.28,0,0,0,0
 48-58,0,0,0,0,0,0.57,1.15,0,0.57,0,1.15,2.3,0,0,13.2,0,0.57,0,0.57
 60-70,0,0.98,0.98,0.98,0,0,0,0,0,0,2.94,2.94,0,0.98,30.43,0,0,0,0
 72-82,0,0,0.98,1.96,0,0,1.96,0,1.96,0,5.89,2.94,0,0,19.63,0,0,0,0
 84-94,0,2.12,0,0,0,1.06,4.25,1.06,3.19,0,6.37,0,0,0,86.03,0,0,2.12,0
 96-106,0,7.65,0,0,0,4.37,1.09,0,2.19,0,5.46,2.19,0,1.09,83.06,0,0,3.28,0
108-118,0,6.13,0,0,0.77,6.13,0,0,2.3,0.77,2.3,0.77,0,0,46.72,0,0,2.3,0
120,0,13.72,0,1.96,0,1.96,0,0,1.96,0,1.96,0,1.96,0,31.36,0,0,0,0
